ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
427-V	HSK 1	电话	diànhuà	téléphone	打电话 - dǎ diànhuà - Téléphoner<br>电话号码 - diànhuà hàomǎ - numéro de téléphone<br>接电话 - jiē diànhuà - répondre au téléphone	nom,communication	[sound:hsk1_电话.wav]
190-V	HSK 1	电脑	diànnǎo	ordinateur	用电脑 - yòng diànnǎo - Utiliser un ordinateur<br>我的电脑 - wǒ de diànnǎo - Mon ordinateur<br>电脑坏了 - diànnǎo huài le - Mon ordinateur est en panne<br>买一台电脑 - mǎi yì tái diànnǎo - Acheter un ordinateur<br>笔记本电脑 - bǐjìběn diànnǎo - Ordinateur portable	technologie,travail,quotidien	[sound:hsk1_电脑.wav]
191-V	HSK 1	电视	diànshì	télévision	看电视 - kàn diànshì - Regarder la télévision<br>电视节目 - diànshì jiémù - Programme de télévision<br>打开电视 - dǎkāi diànshì - Allumer la télévision<br>关电视 - guān diànshì - Éteins la télé<br>电视剧 - diànshìjù - Série télévisée	technologie,loisir,quotidien	[sound:hsk1_电视.wav]
192-V	HSK 1	电影	diànyǐng	film	看电影 - kàn diànyǐng - Regarder un film<br>我喜欢看电影 - wǒ xǐhuan kàn diànyǐng - J'aime regarder des films.<br>电影院 - diànyǐngyuàn - Cinéma<br>这个电影很好看 - zhège diànyǐng hěn hǎokàn - Ce film est très beau<br>去看电影 - qù kàn diànyǐng - Aller au cinéma	loisir,quotidien	[sound:hsk1_电影.wav]
092-V	HSK 1	电影院	diànyǐngyuàn	cinéma	去电影院 - qù diànyǐngyuàn - Aller au cinéma<br>在电影院看电影 - zài diànyǐngyuàn kàn diànyǐng - Regarder un film au cinéma<br>电影院在哪儿？ - diànyǐngyuàn zài nǎr? - Où se trouve le cinéma ?<br>我们去电影院吧 - wǒmen qù diànyǐngyuàn ba - Allons au cinéma<br>电影院很大 - diànyǐngyuàn hěn dà - Le cinéma est grand	lieu,loisir	[sound:hsk1_电影院.wav]
248-V	HSK 1	弟弟	dìdi	petit frère	我弟弟 - wǒ dìdi - Mon petit frère<br>弟弟很小 - dìdi hěn xiǎo - Le frère cadet est très jeune.<br>小弟 - xiǎo dì - Petit frère<br>弟弟比我小 - dìdi bǐ wǒ xiǎo - Mon frère cadet est plus jeune que moi<br>叫弟弟 - jiào dìdi - Appeler le frère cadet	famille,quotidien	[sound:hsk1_弟弟.wav]
373-V	HSK 1	东西	dōngxi	chose, objet	买东西 - mǎi dōngxi - Acheter des choses<br>什么东西？ - shénme dōngxi? - quoi ?<br>好东西 - hǎo dōngxi - bonne chose	nom,quotidien,shopping	[sound:hsk1_东西.wav]
277-V	HSK 1	都	dōu	tous, tout	我们都 - wǒmen dōu - Nous tous<br>都是 - dōu shì - C'est tous<br>都喜欢 - dōu xǐhuan - Tous aiment<br>哪儿都 - nǎr dōu - partout<br>什么都 - shénme dōu - tout	grammaire,quotidien	[sound:hsk1_都.wav]
011-V	HSK 1	读	dú	lire	读书 - dú shū - Lire des livres<br>请你读一下 - qǐng nǐ dú yíxià - Lisez s'il vous plaît<br>我每天读中文 - wǒ měitiān dú zhōngwén - Je lis le chinois tous les jours.<br>这个字怎么读？ - zhège zì zěnme dú? - Comment se prononce ce caractère ?<br>你读过这本书吗？ - nǐ dú guò zhè běn shū ma? - Avez-vous lu ce livre ?	verbe,étude,communication	[sound:hsk1_读.wav]
121-V	HSK 1	对	duì	correct, juste	对 - duì - Oui.<br>不对 - bú duì - Non.<br>你说得对 - nǐ shuō de duì - Vous avez raison.<br>对不起 - duìbuqǐ - Désolé.<br>对我很好 - duì wǒ hěn hǎo - C'est gentil pour moi.	adjectif,quotidien,politesse	[sound:hsk1_对.wav]
186-V	HSK 1	对不起	duìbuqǐ	pardon, désolé	对不起 - duìbuqǐ - Désolé.<br>不好意思 - bù hǎoyìsi - Désolé<br>抱歉 - bàoqiàn - Désolé<br>真对不起 - zhēn duìbuqǐ - Désolé<br>非常抱歉 - fēicháng bàoqiàn - Très désolé	salutation,politesse	[sound:hsk1_对不起.wav]
096-V	HSK 1	多	duō	beaucoup	很多 - hěn duō - Beaucoup<br>多少钱？ - duōshao qián? - Combien c'est ?<br>人很多 - rén hěn duō - Il y a beaucoup de monde<br>你有多少本书？ - nǐ yǒu duōshao běn shū? - Combien de livres as-tu ?<br>多吃点儿 - duō chī diǎnr - Mange un peu plus	adjectif,quantité,quotidien	[sound:hsk1_多.wav]
448-V	HSK 1	多少	duōshao	combien	多少钱？ - duōshao qián? - Combien c'est ?<br>多少人？ - duōshao rén? - combien de personnes ?<br>有多少？ - yǒu duōshao? - combien y a-t-il ?	question,quantité	[sound:hsk1_多少.wav]
502-V	HSK 1	读书	dúshū	étudier, lire	读书 - dú shū - Lire des livres<br>喜欢读书 - xǐhuan dú shū - Aimer lire des livres<br>在读书 - zài dú shū - Lire un livre	verbe,étude	[sound:hsk1_读书.wav]
142-V	HSK 1	二	èr	deux	二月 - èr yuè - février<br>第二 - dì èr - deuxième<br>星期二 - xīngqī èr - mardi<br>二十 - èrshí - vingt<br>二号 - èr hào - deux	chiffre,quotidien	[sound:hsk1_二.wav]
245-V	HSK 1	儿子	érzi	fils	我儿子 - wǒ érzi - Mon fils<br>他的儿子 - tā de érzi - Son fils<br>儿子很聪明 - érzi hěn cōngming - Mon fils est très intelligent<br>大儿子 - dà érzi - Le grand fils<br>小儿子 - xiǎo érzi - Le petit fils	famille,quotidien	[sound:hsk1_儿子.wav]
537-V	HSK 1	饭	fàn	repas, riz cuit	吃饭 - chī fàn - Manger<br>做饭 - zuò fàn - Cuisiner<br>早饭 - zǎofàn - petit-déjeuner	nom,nourriture	[sound:hsk1_饭.wav]
426-V	HSK 1	饭店	fàndiàn	restaurant, hôtel	去饭店 - qù fàndiàn - aller au restaurant<br>饭店在哪儿？ - fàndiàn zài nǎr? - où est le restaurant ?<br>住饭店 - zhù fàndiàn - loger à l'hôtel	lieu,nourriture	[sound:hsk1_饭店.wav]
218-V	HSK 1	房间	fángjiān	chambre, pièce	我的房间 - wǒ de fángjiān - Ma chambre<br>房间很大 - fángjiān hěn dà - Ma chambre est<br>很大打扫房间 - dǎsǎo fángjiān - Nettoyer la chambre<br>房间号 - fángjiān hào - Numéro de chambre<br>单人房间 - dānrén fángjiān - Chambre simple	lieu,quotidien,voyage	[sound:hsk1_房间.wav]
550-V	HSK 1	非常	fēicháng	très	非常好 - fēicháng hǎo - Très bien<br>非常感谢 - fēicháng gǎnxiè - Très reconnaissant<br>非常高兴 - fēicháng gāoxìng - Très content	adverbe	[sound:hsk1_非常.wav]
214-V	HSK 1	飞机	fēijī	avion	坐飞机 - zuò fēijī - Prendre l'avion<br>飞机票 - fēijī piào - Billet d'avion<br>坐飞机去上海 - zuò fēijī qù shànghǎi - Prendre l'avion pour Shanghai<br>飞机几点起飞？ - fēijī jǐ diǎn qǐfēi? - L'avion décolle à quelle heure ?<br>机场 - jīchǎng - aéroport	transport,voyage	[sound:hsk1_飞机.wav]
450-V	HSK 1	分	fēn	minute, point	五分钟 - wǔ fēnzhōng - cinq minutes<br>十分 - shí fēn - très<br>分钟 - fēnzhōng - minutes	temps,quantité	[sound:hsk1_分.wav]
075-V	HSK 1	分钟	fēnzhōng	minute	十分钟 - shí fēnzhōng - dix minutes<br>五分钟 - wǔ fēnzhōng - cinq minutes<br>等我五分钟 - děng wǒ wǔ fēnzhōng - attends-moi cinq minutes<br>还有十分钟 - hái yǒu shí fēnzhōng - il reste dix minutes<br>差五分钟 - chà wǔ fēnzhōng - on est à cinq minutes	temps,quotidien	[sound:hsk1_分钟.wav]
115-V	HSK 1	高兴	gāoxìng	content, heureux	很高兴 - hěn gāoxìng - Je suis ravi<br>我很高兴认识你 - wǒ hěn gāoxìng rènshi nǐ - C'est agréable de vous connaître<br>他今天很高兴 - tā jīntiān hěn gāoxìng - Il est content aujourd'hui<br>听到这个消息我很高兴 - tīng dào zhège xiāoxi wǒ hěn gāoxìng - J'ai appris la nouvelle avec joie<br>祝你生日高兴 - zhù nǐ shēngrì gāoxìng - Joyeux anniversaire	adjectif,émotion,salutation	[sound:hsk1_高兴.wav]
1480-V	HSK 1	个	gè	(classificateur général)	一个人 - yí ge rén - un homme<br>这个 - zhège - Ceci<br>几个 - jǐ ge - combien	classificateur	[sound:hsk1_个.wav]
512-V	HSK 1	歌	gē	chanson	唱歌 - chàng gē - chanter<br>中国歌 - zhōngguó gē - Chanson chinoise<br>这首歌 - zhè shǒu gē - Cette chanson	nom,loisir	[sound:hsk1_歌.wav]
247-V	HSK 1	哥哥	gēge	grand frère	我哥哥 - wǒ gēge - Mon grand frère<br>哥哥很高 - gēge hěn gāo - Le frère aîné est très grand<br>大哥 - dà gē - Grand frère<br>哥哥比我大 - gēge bǐ wǒ dà - Le frère aîné est plus âgé que moi.<br>叫哥哥 - jiào gēge - Appelez le frère aîné	famille,quotidien	[sound:hsk1_哥哥.wav]
027-V	HSK 1	给	gěi	donner	给你 - gěi nǐ - Tu donnes<br>给我一杯水 - gěi wǒ yì bēi shuǐ - Donne-moi un verre d'eau<br>我给你打电话 - wǒ gěi nǐ dǎ diànhuà - Je t'appelle<br>这是给你的礼物 - zhè shì gěi nǐ de lǐwù - Ceci est pour toi comme un cadeau<br>妈妈给我做饭 - māma gěi wǒ zuò fàn - Maman me prépare à manger	verbe,quotidien	[sound:hsk1_给.wav]
087-V	HSK 1	公司	gōngsī	entreprise	去公司 - qù gōngsī - aller au bureau<br>在公司工作 - zài gōngsī gōngzuò - travailler au bureau<br>我们公司很大 - wǒmen gōngsī hěn dà - notre entreprise est très grande<br>公司在哪儿？ - gōngsī zài nǎr? - où se trouve l'entreprise ?<br>什么公司？ - shénme gōngsī? - quelle entreprise ?	lieu,travail	[sound:hsk1_公司.wav]
013-V	HSK 1	工作	gōngzuò	travailler, travail	我在工作 - wǒ zài gōngzuò - Je travaille<br>你在哪儿工作？ - nǐ zài nǎr gōngzuò? - Où travailles-tu ?<br>我的工作很忙 - wǒ de gōngzuò hěn máng - Mon travail est très chargé<br>他每天工作八个小时 - tā měitiān gōngzuò bā ge xiǎoshí - Il travaille huit heures chaque jour<br>找工作不容易 - zhǎo gōngzuò bù róngyì - Il n'est pas facile de trouver un emploi	verbe,travail,quotidien	[sound:hsk1_工作.wav]
505-V	HSK 1	狗	gǒu	chien	小狗 - xiǎo gǒu - Chien de compagnie<br>一只狗 - yì zhī gǒu - Un chien<br>养狗 - yǎng gǒu - Tenir un chien	nom,animal	[sound:hsk1_狗.wav]
098-V	HSK 1	贵	guì	cher	很贵 - hěn guì - C'est cher<br>太贵了 - tài guì le - Trop cher<br>这个不贵 - zhège bú guì - Ce n'est pas cher<br>北京的房子很贵 - běijīng de fángzi hěn guì - Les maisons à Beijing sont chères<br>贵一点儿没关系 - guì yìdiǎnr méi guānxi - Un peu plus cher ne fait rien	adjectif,shopping,quotidien	[sound:hsk1_贵.wav]
352-V	HSK 1	国	guó	pays	中国 - zhōngguó - chinois<br>国家 - guójiā - Pays<br>外国 - wàiguó - étranger	nom,lieu	[sound:hsk1_国.wav]
1044-V	HSK 1	还1	hái	encore; toujours; en plus	还是你说 - háishi nǐ shuō - plutôt toi, parle<br>我还要 - wǒ hái yào - j'en veux encore<br>他还在 - tā hái zài - il est encore là	adverbe,temps,addition	[sound:hsk1_还.wav]
481-V	HSK 1	孩子	háizi	enfant	小孩子 - xiǎo háizi - enfant<br>孩子们 - háizimen - enfants<br>我的孩子 - wǒ de háizi - mon enfant	nom,personne,famille	[sound:hsk1_孩子.wav]
1188-V	HSK 1	汉语	Hànyǔ	chinois (langue)	学汉语 - xué hànyǔ - apprendre le chinois<br>汉语水平 - hànyǔ shuǐpíng - niveau de chinois<br>汉语考试 - hànyǔ kǎoshì - examen de chinois	langue	[sound:hsk1_汉语.wav]
1193-V	HSK 1	汉字	Hànzì	caractère chinois	写汉字 - xiě hànzì - écrire des caractères chinois<br>学汉字 - xué hànzì - apprendre des caractères chinois<br>认识汉字 - rènshi hànzì - connaître des caractères chinois	langue	[sound:hsk1_汉字.wav]
438-V	HSK 1	号	hào	numéro, date	几号？ - jǐ hào? - Quelle date ?<br>今天几号？ - jīntiān jǐ hào? - Quelle date est-ce aujourd'hui ?<br>电话号码 - diànhuà hàomǎ - numéro de téléphone	quantité,temps	[sound:hsk1_号.wav]
093-V	HSK 1	好	hǎo	bon; bien; d’accord	很好 - hěn hǎo - C'est très bien<br>好吃 - hǎo chī - C'est délicieux<br>这个很好 - zhège hěn hǎo - C'est très bon<br>你好吗？ - nǐ hǎo ma? - Comment vas-tu ?<br>好朋友 - hǎo péngyou - bon ami<br>好看 - hǎokàn - beau, intéressant	adjectif,quotidien	[sound:hsk1_好.wav]
409-V	HSK 1	好吃	hǎochī	délicieux	很好吃 - hěn hǎochī - très bon goût<br>这个好吃 - zhège hǎochī - cela goûte bon<br>好吃吗？ - hǎochī ma? - ça goûte bon ?	adjectif,nourriture	[sound:hsk1_好吃.wav]
113-V	HSK 1	好看	hǎokàn	beau, joli	很好看 - hěn hǎokàn - Beaucoup de beauté<br>这个电影很好看 - zhège diànyǐng hěn hǎokàn - Ce film est très beau<br>你今天很好看 - nǐ jīntiān hěn hǎokàn - Tu es très beau aujourd'hui<br>这本书很好看 - zhè běn shū hěn hǎokàn - Cette livre est très beau<br>不好看 - bù hǎokàn - Pas beau	adjectif,quotidien	[sound:hsk1_好看.wav]
521-V	HSK 1	好听	hǎotīng	agréable à entendre	很好听 - hěn hǎotīng - très joli son<br>这首歌很好听 - zhè shǒu gē hěn hǎotīng - cette chanson est très jolie<br>好听吗？ - hǎotīng ma? - est-ce que c'est joli ?	adjectif,musique	[sound:hsk1_好听.wav]
538-V	HSK 1	好玩儿	hǎowánr	amusant	很好玩儿 - hěn hǎowánr - Très amusant<br>这个好玩儿 - zhège hǎowánr - Ce est amusant<br>好玩儿吗？ - hǎowánr ma? - Est-ce amusant ?	adjectif,loisir	[sound:hsk1_好玩儿.wav]
1863-V	HSK 1	和1	hé	et; avec	我和你 - wǒ hé nǐ - Toi et moi<br>咖啡和茶 - kāfēi hé chá - Café et thé<br>我和朋友去看电影 - wǒ hé péngyou qù kàn diànyǐng - Je vais voir un film avec un ami	conjonction,grammaire	[sound:hsk1_和.wav]
002-V	HSK 1	喝	hē	boire	喝水 - hē shuǐ - Je bois de l'eau<br>我喝茶 - wǒ hē chá - Je bois du thé<br>你想喝点儿什么？ - nǐ xiǎng hē diǎnr shénme? - Que voulez-vous boire ?<br>我每天早上喝咖啡 - wǒ měitiān zǎoshang hē kāfēi - Je bois du café chaque matin<br>喝太多对身体不好 - hē tài duō duì shēntǐ bù hǎo - Boire trop est nocif pour le corps	verbe,boisson,quotidien	[sound:hsk1_喝.wav]
530-V	HSK 1	很	hěn	très	很好 - hěn hǎo - C'est bien<br>很大 - hěn dà - C'est grand<br>很忙 - hěn máng - Très occupé.	adverbe	[sound:hsk1_很.wav]
264-V	HSK 1	后	hòu	derrière	后面 - hòumiàn - derrière<br>在后面 - zài hòumiàn - à derrière<br>往后走 - wǎng hòu zǒu - marchez vers l'arrière<br>以后 - yǐhòu - dorénavant<br>后天 - hòutiān - demain	direction,temps,quotidien	[sound:hsk1_后.wav]
387-V	HSK 1	回	huí	retourner	回家 - huí jiā - Retourner à la maison<br>回来 - huílai - retourner<br>回去 - huíqu - rentrer	verbe,déplacement	[sound:hsk1_回.wav]
1864-V	HSK 1	会1	huì	savoir; pouvoir; future ; réunion	我会说中文 - wǒ huì shuō zhōngwén - Je sais parler chinois<br>你会开车吗？ - nǐ huì kāichē ma? - Tu sais conduire ?<br>他会做中国菜 - tā huì zuò zhōngguó cài - Il sait faire de la cuisine chinoise	verbe,capacité,modal	[sound:hsk1_会.wav]
213-V	HSK 1	火车	huǒchē	train	坐火车 - zuò huǒchē - Prendre le train<br>火车票 - huǒchē piào - Billet de train<br>坐火车去北京 - zuò huǒchē qù běijīng - Prendre le train pour Beijing<br>火车几点开？ - huǒchē jǐ diǎn kāi? - Le train part à quelle heure ?<br>高速火车 - gāosù huǒchē - Train à grande vitesse	transport,voyage	[sound:hsk1_火车.wav]
425-V	HSK 1	几	jǐ	combien (petit nombre)	几个？ - jǐ ge? - combien ?<br>几点？ - jǐ diǎn? - quelle heure est-il ?<br>有几个？ - yǒu jǐ ge? - combien y en a-t-il ?	question,quantité	[sound:hsk1_几.wav]
076-V	HSK 1	家	jiā	maison, famille	在家 - zài jiā - À la maison<br>回家 - huí jiā - Retourner à la maison<br>你家在哪儿？ - nǐ jiā zài nǎr? - Où habites-tu ?<br>欢迎来我家 - huānyíng lái wǒ jiā - Bienvenue chez moi<br>我家离公司很近 - wǒ jiā lí gōngsī hěn jìn - Mon domicile est proche de l'entreprise	lieu,quotidien	[sound:hsk1_家.wav]
334-V	HSK 1	见	jiàn	voir, rencontrer	再见 - zàijiàn - Au revoir<br>见面 - jiànmiàn - rencontrer<br>看见 - kànjiàn - voir	verbe,grammaire	[sound:hsk1_见.wav]
162-V	HSK 1	件	jiàn	spécificatif vêtements/affaires	一件衣服 - yí jiàn yīfu - une veste<br>两件事 - liǎng jiàn shì - deux choses<br>三件行李 - sān jiàn xíngli - trois bagages<br>几件？ - jǐ jiàn? - combien ?<br>这件事 - zhè jiàn shì - cette chose	mesure,vêtements	[sound:hsk1_件.wav]
