ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
5951-V	HSK 7-9	艾滋病	àizībìng	SIDA; maladie causée par le VIH	患艾滋病 - huàn àizībìng - Être atteint du SIDA	nom,concept,santé	[sound:hsk7-9_艾滋病.wav]
5952-V	HSK 7-9	暗地里	àndìlǐ	dans le secret; en cachette	暗地里观察 - àndìlǐ guānchá - Observer en cachette	nom,adverbe,concept	[sound:hsk7-9_暗地里.wav]
5953-V	HSK 7-9	安定	āndìng	stable; tranquille; pacifique	安定的环境 - āndìng de huánjìng - Un environnement stable	nom,adjectif,concept	[sound:hsk7-9_安定.wav]
5954-V	HSK 7-9	安抚	ānfǔ	apaiser; calmer les gens ou les émotions d'une manière douce et efficace. (HSK5) 安抚民心 - ānfǔ mínxīn - Apaiser l'esprit populaire	nom,verbe,action	[sound:hsk7-9_安抚.wav]	
5955-V	HSK 7-9	案件	ànjiàn	affaire judiciaire; dossier judiciaire	案件调查 - ànjiàn diàochá - Enquête sur une affaire	nom,concept,action	[sound:hsk7-9_案件.wav]
5956-V	HSK 7-9	按理	ànlǐ	dans la logique; selon les règles ou les principes établis	按理说 - ànlǐ shuō - Selon la logique<br>按理应该 - ànlǐ yīnggāi - Devrait être selon la logique	nom,adverbe,concept	[sound:hsk7-9_按理.wav]
5957-V	HSK 7-9	安眠药	ānmiányào	médicament pour dormir; somnifère	安眠药片 - ānmiányào piàn - Pilule somnifère	nom,concept,santé	[sound:hsk7-9_安眠药.wav]
5958-V	HSK 7-9	安宁	ānníng	paisible; tranquille; calme (en référence à un lieu ou un état d'esprit)	安宁的夜晚 - ānníng de yèwǎn - Une nuit paisible	nom,adjectif,concept	[sound:hsk7-9_安宁.wav]
5959-V	HSK 7-9	按钮	ànniǔ	bouton (d'appareil électronique ou de machine)	按钮操作 - ànniǔ cāozuò - Manipulation du bouton	nom,objet,technologie	[sound:hsk7-9_按钮.wav]
5960-V	HSK 7-9	按说	ànshuō	en théorie; selon ce qui est dit ou attendu	按说应该 - ànshuō yīnggāi - En théorie, cela devrait être<br>按说不应该 - ànshuō bù yīnggāi - En théorie, cela ne devrait pas être	nom,adverbe,concept	[sound:hsk7-9_按说.wav]
5961-V	HSK 7-9	安稳	ānwěn	stable et en sécurité; tranquille et sans inquiétude	安稳的环境 - ānwěn de huánjìng - Un environnement stable et en sécurité	nom,adjectif,concept	[sound:hsk7-9_安稳.wav]
5962-V	HSK 7-9	安详	ānxiáng	tranquille et calme; paisible (en référence à un visage ou un état d'esprit)	安详的面容 - ānxiáng de miànróng - Un visage tranquille et calme	nom,adjectif,concept	[sound:hsk7-9_安详.wav]
5963-V	HSK 7-9	安心	ānxīn	pouvoir se sentir en sécurité ou tranquille; être rassuré	放心 - fàngxīn - Rassurer quelqu'un<br>安心工作 - ānxīn gōngzuò - Travailler tranquillement	nom,verbe,action	[sound:hsk7-9_安心.wav]
5964-V	HSK 7-9	安逸	ānyì	confortable; luxueux; détendu (en référence à un mode de vie ou à un état d'esprit)	安逸的生活 - ānyì de shēnghuó - Un mode de vie confortable	nom,adjectif,concept	[sound:hsk7-9_安逸.wav]
5965-V	HSK 7-9	安置	ānzhì	mettre en place ou en position appropriée; installer quelqu'un ou quelque chose dans un endroit sûr ou approprié.	安置人员 - ānzhì rényuán - Installer des personnes<br>安置设备 - ānzhì shèbèi - Installer des équipements	nom,verbe,action	[sound:hsk7-9_安置.wav]
5966-V	HSK 7-9	暗中	ànzhōng	dans le secret; en cachette	暗中观察 - ànzhōng guānchá - Observer en cachette<br>暗中支持 - ànzhōng zhīchí - Soutenir en secret	nom,adverbe,concept	[sound:hsk7-9_暗中.wav]
5967-V	HSK 7-9	熬	áo	cuire lentement; rester éveillé ou se débrouiller malgré des difficultés.	熬夜 - áo yè - Rester éveillé tard dans la nuit<br>熬过难关 - áo guò nán guān - Se débrouiller malgré les difficultés	verbe,action	[sound:hsk7-9_熬.wav]
5968-V	HSK 7-9	傲	ào	orgueilleux; arrogant (en référence à un comportement ou une attitude)	傲慢 - àomàn - Arrogance<br>傲慢的态度 - àomàn de tàidù - Un comportement arrogant<br>傲慢的行为 - àomàn de xíngwéi - Un comportement arrogant	nom,adjectif,concept	[sound:hsk7-9_傲.wav]
5969-V	HSK 7-9	凹	āo	enfoncé; creux (en référence à une surface ou un objet)	凹陷 - āoxiàn - Enfoncement<br>凹面镜 - āomiànjìng - Miroir concave<br>凹凸不平 - āotū bùpíng - Inégal et irrégulier	nom,adjectif,concept	[sound:hsk7-9_凹.wav]
5970-V	HSK 7-9	傲慢	àomàn	orgueilleux; arrogant (en référence à un comportement ou une attitude)	傲慢的态度 - àomàn de tàidù - Un comportement arrogant<br>傲慢的行为 - àomàn de xíngwéi - Un comportement arrogant	nom,adjectif,concept	[sound:hsk7-9_傲慢.wav]
5971-V	HSK 7-9	奥秘	àomì	secret profond; mystère	奥秘探索 - àomì tànsuǒ - Exploration des mystères<br>奥秘的世界 - àomì de shìjiè - Un monde de mystères<br>奥秘的宇宙 - àomì de yǔzhòu - Un univers de mystères	nom,concept,philosophie	[sound:hsk7-9_奥秘.wav]
5972-V	HSK 7-9	拔	bá	tirer; arracher	拔河 - báhé - Tir à la corde<br>拔掉 - bádiào - Arracher<br>拔出 - báchū - Tirer vers l'extérieur	verbe,action	[sound:hsk7-9_拔.wav]
5973-V	HSK 7-9	坝	bà	barrage; digue	水坝 - shuǐbà - Barrage<br>大坝 - dàbà - Grande digue<br>水坝建设 - shuǐbà jiànshè - Construction de barrage	nom,concept,ingénierie	[sound:hsk7-9_坝.wav]
5974-V	HSK 7-9	扒	bā	gratter; peler	扒皮 - bāpí - Gratter la peau<br>扒开 - bākāi - Peler ou ouvrir<br>扒手 - bāshǒu - Pickpocket	verbe,action	[sound:hsk7-9_扒.wav]
5975-V	HSK 7-9	疤	bā	cicatrice; marque laissée sur la peau après une blessure ou une opération	伤疤 - shāngbā - Cicatrice<br>疤痕 - bāhén - Marque de cicatrice<br>疤面 - bāmiàn - Visage marqué de cicatrices	nom,concept,corps	[sound:hsk7-9_疤.wav]
5976-V	HSK 7-9	把柄	bǎbǐng	arme; moyen de pression ou de manipulation	把柄在手 - bǎbǐng zài shǒu - Avoir le pouvoir de manipuler quelqu'un<br>把柄 - bǎbǐng - Un moyen de pression	nom,concept	[sound:hsk7-9_把柄.wav]
5977-V	HSK 7-9	巴不得	bābudé	vouloir ardemment quelque chose; être impatient d'avoir quelque chose	巴不得快点 - bābudé kuài diǎn - Être impatient d'avoir quelque chose<br>巴不得早点回家 - bābudé zǎo diǎn huí jiā - Être impatient de rentrer chez soi plus tôt	nom,verbe,action	[sound:hsk7-9_巴不得.wav]
5978-V	HSK 7-9	八成	bāchéng	quatre-vingts pourcent; probablement; vraisemblablement	八成是 - bāchéng shì - Probablement<br>八成会 - bāchéng huì - Vraisemblablement<br>八成没有 - bāchéng méiyǒu - Probablement pas	nom,adverbe,concept	[sound:hsk7-9_八成.wav]
5979-V	HSK 7-9	霸道	bàdào	despotisme; exercer des mesures de politique en force; refuser d'entendre raison; insolence; arrogant ou insensé; violent; brutal; fort; piquant	霸道的行为 - bàdào de xíngwéi - Comportement despotique<br>霸道的态度 - bàdào de tàidù - Attitude arrogante<br>霸道的政策 - bàdào de zhèngcè - Politique despotique	nom,adjectif,concept	[sound:hsk7-9_霸道.wav]
5980-V	HSK 7-9	罢工	bàgōng	grève; dégrayage	罢工抗议 - bàgōng kàngyì - Grève de protestation<br>罢工行动 - bàgōng xíngdòng - Action de grève<br>罢工的原因 - bàgōng de yuányīn - Raison de la grève	nom,concept,action	[sound:hsk7-9_罢工.wav]
5981-V	HSK 7-9	八卦	bāguà	gossip; commérages; potins	八卦新闻 - bāguà xīnwén - Nouvelles de potins<br>八卦消息 - bāguà xiāoxi - Informations de potins<br>八卦八卦 - bāguà bāguà - Parler de potins	nom,concept,action	[sound:hsk7-9_八卦.wav]
5982-V	HSK 7-9	把关	bǎguān	contrôler; vérifier; être responsable de la sécurité ou de la qualité de quelque chose	把关质量 - bǎguān zhìliàng - Contrôler la qualité<br>把关安全 - bǎguān ānquán - Vérifier la sécurité<br>把关食品 - bǎguān shípǐn - Contrôler les aliments	nom,verbe,action	[sound:hsk7-9_把关.wav]
5983-V	HSK 7-9	掰	bāi	casser; séparer en deux avec les mains	掰开 - bāi kāi - Casser en deux<br>掰断 - bāi duàn - Casser complètement	verbe,action	[sound:hsk7-9_掰.wav]
5984-V	HSK 7-9	百般	bǎibān	de toutes les manières; de toutes les façons	百般努力 - bǎibān nǔlì - Faire tous les efforts possibles<br>百般尝试 - bǎibān chángshì - Essayer de toutes les façons<br>百般解释 - bǎibān jiěshì - Expliquer de toutes les manières	nom,adverbe,concept	[sound:hsk7-9_百般.wav]
5985-V	HSK 7-9	摆动	bǎidòng	bouger; osciller	摆动身体 - bǎidòng shēntǐ - Bouger le corps<br>摆动的树枝 - bǎidòng de shùzhī - Branches qui bougent	nom,verbe,action	[sound:hsk7-9_摆动.wav]
5986-V	HSK 7-9	百分比	bǎifēnbǐ	pourcentage	百分比增加 - bǎifēnbǐ zēngjiā - Augmentation en pourcentage<br>百分比减少 - bǎifēnbǐ jiǎnshǎo - Diminution en pourcentage	nom,concept,mathématiques	[sound:hsk7-9_百分比.wav]
5987-V	HSK 7-9	百合	bǎihé	lilium; fleur de lys (en référence à une plante ou un aliment)	百合花 - bǎihé huā - Fleur de lys<br>百合根 - bǎihé gēn - Racine de lys	nom,concept,nature	[sound:hsk7-9_百合.wav]
5988-V	HSK 7-9	败坏	bàihuài	détruire; corrompre; abîmer (en référence à une personne ou à une chose)	败坏名声 - bàihuài míngshēng - Abîmer la réputation<br>败坏道德 - bàihuài dàodé - Corrompre la morale	nom,verbe,action	[sound:hsk7-9_败坏.wav]
5989-V	HSK 7-9	拜会	bàihuì	faire une visite officielle à quelqu'un	拜会领导 - bàihuì lǐngdǎo - Rendre visite à un chef<br>拜会客户 - bàihuì kèhù - Rendre visite à un client	nom,verbe,action	[sound:hsk7-9_拜会.wav]
5990-V	HSK 7-9	拜见	bàijiàn	rendre visite à quelqu'un dans un contexte formel ou respectueux	拜见老师 - bàijiàn lǎoshī - Rendre visite à un professeur<br>拜见长辈 - bàijiàn zhǎngbèi - Rendre visite à un aîné	nom,verbe,action	[sound:hsk7-9_拜见.wav]
5991-V	HSK 7-9	百科全书	bǎikē quánshū	encyclopédie; livre de connaissances générales	百科全书查询 - bǎikē quánshū cháxún - Recherche dans une encyclopédie<br>百科全书知识 - bǎikē quánshū zhīshì - Connaissances d'une encyclopédie	nom,concept,littérature	[sound:hsk7-9_百科全书.wav]
5992-V	HSK 7-9	摆平	bǎipíng	équilibrer; traiter avec équité; régler; apaiser; résoudre un conflit ou une situation difficile de manière pacifique ou efficace	摆平问题 - bǎipíng wèntí - Régler un problème<br>摆平矛盾 - bǎipíng máodùn - Apaiser une contradiction	nom,verbe,action	[sound:hsk7-9_摆平.wav]
5993-V	HSK 7-9	摆设	bǎishe	décoration; mise en place d'objets décoratifs ou de mobilier pour embellir un espace	摆设家具 - bǎishe jiājù - Disposer des meubles<br>摆设花瓶 - bǎishe huāpíng - Disposer des vases à fleurs	nom,verbe,action	[sound:hsk7-9_摆设.wav]
5994-V	HSK 7-9	柏树	bǎishù	arbre de cyprès	柏树叶子 - bǎishù yèzi - Feuilles de cyprès<br>柏树皮 - bǎishù pí - Écorce de cyprès	nom,concept,nature	[sound:hsk7-9_柏树.wav]
5995-V	HSK 7-9	拜托	bàituō	recourir à l'obligeance de qn; demander un service; prier qn de se charger d'une affaire	拜托帮忙 - bàituō bāngmáng - Demander de l'aide<br>拜托你了 - bàituō nǐ le - Je te demande cela	nom,verbe,action	[sound:hsk7-9_拜托.wav]
5996-V	HSK 7-9	巴结	bājie	faire la cour à quelqu'un; flatter quelqu'un pour obtenir quelque chose	巴结上司 - bājie shàngsī - Flatter un supérieur<br>巴结老板 - bājie lǎobǎn - Flatter un patron	nom,verbe,action	[sound:hsk7-9_巴结.wav]
5997-V	HSK 7-9	罢了	bàle	suffisant; terminé; c'est tout ce qu'il y a à dire sur le sujet	罢了 - bàle - C'est tout<br>罢了罢了 - bàle bàle - C'est tout ce qu'il y a à dire	nom,adverbe,concept	[sound:hsk7-9_罢了.wav]
5998-V	HSK 7-9	芭蕾	bālěi	ballet classique français	芭蕾舞剧 - bālěi wǔjù - Opéra-ballet<br>芭蕾舞演员 - bālěi wǔ yánhuán - Danseur de ballet	nom,concept,art	[sound:hsk7-9_芭蕾.wav]
5999-V	HSK 7-9	罢免	bàmiǎn	révoquer (un fonctionnaire ou un dirigeant); destituer (un employé ou un chef d'entreprise)	罢免官员 - bàmiǎn guānyuán - Révoquer un fonctionnaire<br>罢免经理 - bàmiǎn jīnglǐ - Destituer un manager	nom,verbe,action	[sound:hsk7-9_罢免.wav]
6000-V	HSK 7-9	扮	bàn	jouer un rôle; se déguiser en; faire semblant d'être quelqu'un ou quelque chose	扮演角色 - bànyǎn juésè - Jouer un rôle<br>扮成动物 - bànchéng dòngwù - Se déguiser en animal<br>扮作无辜 - bànzuò wúgū - Faire semblant d'être innocent	verbe,action	[sound:hsk7-9_扮.wav]
6001-V	HSK 7-9	伴	bàn	compagnon; partenaire; accompagner	伴侣 - bànlǚ - Partenaire<br>伴随 - bànsuí - Accompagner<br>伴奏 - bànzòu - Accompagnement musical	nom,verbe,action	[sound:hsk7-9_伴.wav]
6002-V	HSK 7-9	拌	bàn	barrer; obstruer; empêcher; mélanger; méler; battre (sens mélanger)	拌沙拉 - bàn shālā - Mélanger une salade<br>拌面 - bàn miàn - Mélanger des nouilles	nom,verbe,action	[sound:hsk7-9_拌.wav]
6003-V	HSK 7-9	绊	bàn	entraver; embarrasser; gêner; tomber sur quelque chose qui empêche de marcher ou de se déplacer correctement	绊脚石 - bànjiǎoshí - Obstacle à la marche<br>绊倒 - bàn dǎo - Tomber à cause d'un obstacle	nom,verbe,action	[sound:hsk7-9_绊.wav]
6004-V	HSK 7-9	扳	bān	tourner un levier ou un objet pour le faire bouger ou le déplacer	扳动开关 - bān dòng kāiguān - Actionner un interrupteur<br>扳手 - bānshǒu - Clé à molette	nom,verbe,action	[sound:hsk7-9_扳.wav]
6005-V	HSK 7-9	半边天	bànbiāntiān	moitié du ciel; moitié du monde (expression idiomatique utilisée pour désigner les femmes dans la société traditionnelle chinoise)	半边天的贡献 - bànbiāntiān de gòngxiàn - Contribution des femmes	nom,concept,expression,idiomatique	[sound:hsk7-9_半边天.wav]
6006-V	HSK 7-9	颁布	bānbù	publier officiellement (un décret, une loi ou une réglementation)	颁布法律 - bānbù fǎlǜ - Publier une loi<br>颁布新政策 - bānbù xīn zhèngcè - Publier une nouvelle politique	nom,verbe,action	[sound:hsk7-9_颁布.wav]
6007-V	HSK 7-9	半岛	bàndǎo	péninsule; une étendue de terre entourée d'eau sur trois côtés	半岛旅游 - bàndǎo lǚyóu - Tourisme de péninsule<br>半岛国家 - bàndǎo guójiā - Pays de péninsule	nom,concept,géographie	[sound:hsk7-9_半岛.wav]
6008-V	HSK 7-9	半导体	bàndǎotǐ	semi-conducteur	半导体技术 - bàndǎotǐ jìshù - Technologie des semi-conducteurs<br>半导体产业 - bàndǎotǐ chǎnyè - Industrie des semi-conducteurs	nom,concept,technologie	[sound:hsk7-9_半导体.wav]
6009-V	HSK 7-9	斑点	bāndiǎn	tache; point (sur une surface)	斑点皮肤 - bāndiǎn pífū - Peau tachetée<br>斑点病 - bāndiǎn bìng - Maladie à taches	nom,concept	[sound:hsk7-9_斑点.wav]
6010-V	HSK 7-9	颁发	bānfā	donner officiellement (un prix, un diplôme ou un honneur)	颁发奖项 - bānfā jiǎngxiàng - Remettre un prix<br>颁发证书 - bānfā zhèngshū - Remettre un certificat	nom,verbe,action	[sound:hsk7-9_颁发.wav]
6011-V	HSK 7-9	磅	bàng	livre (unité de mesure de poids en Chine)	一磅重 - yībàng zhòng - Un livre de poids<br>一磅苹果 - yībàng píngguǒ - Un livre de pommes	nom,concept,mesure	[sound:hsk7-9_磅.wav]
6012-V	HSK 7-9	绑	bǎng	liaison; attacher; lier quelque chose à quelque chose d'autre	绑绳子 - bǎng shéngzi - Attacher avec une corde<br>绑定账户 - bǎngdìng zhànghù - Lier un compte	nom,verbe,action	[sound:hsk7-9_绑.wav]
6013-V	HSK 7-9	绑架	bǎngjià	détention par la force; enlèvement avec violence ou menace pour obtenir une rançon ou d'autres objectifs illégaux	绑架人质 - bǎngjià rénzhì - Enlever des otages<br>被绑架了 - bèi bǎngjià le - Être enlevé	nom,verbe,action	[sound:hsk7-9_绑架.wav]
6014-V	HSK 7-9	帮手	bāngshou	assistant; aide; soutien	帮手帮忙 - bāngshou bāngmáng - Aider un assistant<br>请帮手 - qǐng bāngshou - Demander de l'aide	nom,concept	[sound:hsk7-9_帮手.wav]
6015-V	HSK 7-9	颁奖	bānjiǎng	donner un prix ou un honneur à quelqu'un	颁奖典礼 - bānjiǎng lǐchéng - Cérémonie de remise des prix<br>颁奖仪式 - bānjiǎng yíshì - Cérémonie de remise des prix	nom,verbe,action	[sound:hsk7-9_颁奖.wav]
6016-V	HSK 7-9	绊脚石	bànjiǎoshí	obstacle à la marche; obstacle à la progression ou au développement	绊脚石问题 - bànjiǎoshí wèntí - Problème d'obstacle<br>绊脚石效应 - bànjiǎoshí xiàoguǒ - Effet d'obstacle	nom,concept	[sound:hsk7-9_绊脚石.wav]
6017-V	HSK 7-9	半径	bànjìng	rayon (d'un cercle ou d'une sphère)	半径长度 - bànjìng chángdù - Longueur du rayon<br>半径测量 - bànjìng cèliáng - Mesure du rayon	nom,concept,mathématiques	[sound:hsk7-9_半径.wav]
6018-V	HSK 7-9	板块	bǎnkuài	pavé; plaque (dans le contexte géologique ou architectural)	板块运动 - bǎnkuài yùndòng - Mouvement des plaques tectoniques<br>板块构造理论 - bǎnkuài gòuzào lǐlùn - Théorie de la tectonique des plaques	nom,concept,géologie	[sound:hsk7-9_板块.wav]
6019-V	HSK 7-9	伴侣	bànlǚ	partenaire; conjoint(e)	伴侣关系 - bànlǚ guānxi - Relation de partenaire<br>伴侣生活 - bànlǚ shēnghuó - Vie de couple	nom,concept	[sound:hsk7-9_伴侣.wav]
6020-V	HSK 7-9	斑马线	bānmǎxiàn	passage piétons; zébrures sur la chaussée	斑马线过马路 - bānmǎxiàn guò mǎlù - Traversez la route à la ligne de passage pour piétons<br>斑马线标志 - bānmǎxiàn biāozhì - Signalisation des lignes de passage pour piétons	nom,concept	[sound:hsk7-9_斑马线.wav]
6021-V	HSK 7-9	搬迁	bānqiān	déménagement; déplacer quelque chose d'un endroit à un autre	搬迁新居 - bānqiān xīnjū - Déménager dans un nouvel appartement<br>搬迁公司 - bānqiān gōngsī - Société de déménagement	nom,verbe,action	[sound:hsk7-9_搬迁.wav]
6022-V	HSK 7-9	版权	bǎnquán	droits d'auteur; propriété intellectuelle (dans le contexte juridique chinois)	版权保护 - bǎnquán bǎohù - Protection des droits d'auteur<br>版权转让 - bǎnquán zhuǎnràng - Cession des droits d'auteur	nom,concept,juridique	[sound:hsk7-9_版权.wav]
6023-V	HSK 7-9	办事处	bànshìchù	bureau administratif ou service local (d'une organisation ou d'une entreprise)	办事处工作 - bànshìchù gōngzuò - Travail au bureau administratif<br>办事处主任 - bànshìchù zhǔrèn - Directeur du bureau administratif	nom,concept,organisation	[sound:hsk7-9_办事处.wav]
6024-V	HSK 7-9	半数	bànshù	moitié; demi (d'un ensemble)	半数以上 - bànshù yǐshàng - Plus de la moitié<br>半数学生 - bànshù xuésheng - Moitié des élèves	nom,concept	[sound:hsk7-9_半数.wav]
6025-V	HSK 7-9	半途而废	bàntú’érfèi	abandonner à mi-chemin; abandonner un projet ou une tâche sans le terminer	半途而废的后果 - bàntú’érfèi de hòuguǒ - Conséquences d'abandonner à mi-chemin	nom,verbe,action	[sound:hsk7-9_半途而废.wav]
6026-V	HSK 7-9	半信半疑	bànxìn-bànyí	douter à mi-chemin; hésiter entre deux opinions ou croyances	半信半疑的态度 - bànxìn-bànyí de tàidù - Attitude hésitante<br>半信半疑地接受 - bànxìn-bànyí de jiēshòu - Accepter avec hésitation	nom,verbe,action	[sound:hsk7-9_半信半疑.wav]
6027-V	HSK 7-9	办学	bànxué	fonder une école ou un établissement éducatif	办学机构 - bànxué jīgòu - Institution éducative<br>办学条件 - bànxué tiáojiàn - Conditions d'enseignement	nom,verbe,action	[sound:hsk7-9_办学.wav]
6028-V	HSK 7-9	伴奏	bànzòu	accomparner (musicalement)	伴奏音乐 - bànzòu yīnyuè - Musique d'accompagnement<br>伴奏者 - bànzòu zhě - Accompagnateur musical	nom,verbe,action	[sound:hsk7-9_伴奏.wav]
6029-V	HSK 7-9	报	bào	informer; publier (un journal ou une information)	报告 - bàogào - Rapport<br>报纸 - bàozhǐ - Journal	nom,verbe,action	[sound:hsk7-9_报.wav]
6030-V	HSK 7-9	豹	bào	géant (animal sauvage du genre Panthera pardus)	豹子皮毛 - bàozǐ pímáo - Fourrure de léopard<br>豹子奔跑速度极快 - bàozǐ bènpǎo sùdù jí kuài - Le léopard court très vite	nom,concept,animale	[sound:hsk7-9_豹.wav]
6031-V	HSK 7-9	煲	bāo	casserole; faire mijoter (en référence à la cuisson)	煲汤 - bāo tāng - Faire mijoter une soupe<br>煲粥 - bāo zhōu - Faire mijoter du porridge	nom,verbe,action,cuisine	[sound:hsk7-9_煲.wav]
6032-V	HSK 7-9	剥	bāo	peler; éplucher; enlever la peau ou la couche extérieure de quelque chose	剥皮 - bāo pí - Peler la peau<br>剥开 - bāo kāi - Enlever la couche extérieure<br>剥离 - bāolí - Séparer en enlevant la couche extérieure	verbe,action	[sound:hsk7-9_剥.wav]
6033-V	HSK 7-9	报案	bào'àn	déposer une plainte; signaler un crime ou un incident à la police	报案人 - bào'àn rén - Personne qui dépose une plainte<br>报案电话 - bào'àn diànhuà - Numéro de téléphone pour signaler un crime<br>报案记录 - bào'àn jìlù - Enregistrement de la plainte	nom,verbe,action,juridique	[sound:hsk7-9_报案.wav]
6034-V	HSK 7-9	包庇	bāobì	protéger; couvrir; abriter (en référence à une personne ou à une activité illégale)	包庇罪犯 - bāobì zuìfàn - Protéger un criminel<br>包庇非法活动 - bāobì fēifǎ huódòng - Couvrir une activité illégale	nom,verbe,action,juridique	[sound:hsk7-9_包庇.wav]
6035-V	HSK 7-9	褒贬	bāobiǎn	évaluer; juger; critiquer (en référence à une personne ou à une chose)	褒贬不一 - bāobiǎn bù yī - Juger de manière inégale<br>褒贬有别 - bāobiǎn yǒu bié - Critiquer de manière différenciée	nom,verbe,action	[sound:hsk7-9_褒贬.wav]
6036-V	HSK 7-9	报酬	bàochou	rémunération; salaire; récompense pour un travail ou un service rendu	报酬丰厚 - bàochou fēnghòu - Rémunération généreuse<br>报酬合理 - bàochou hélǐ - Rémunération raisonnable<br>报酬不高 - bàochou bù gāo - Rémunération basse	nom,concept,économie	[sound:hsk7-9_报酬.wav]
6037-V	HSK 7-9	报仇	bàochóu	se venger; prendre sa revanche	报仇雪恨 - bàochóu xuěhèn - Se venger pour laver une humiliation<br>报仇心切 - bàochóu xīn qiè - Avoir hâte de se venger<br>报仇成功 - bàochóu chénggōng - Réussir à se venger	nom,verbe,action	[sound:hsk7-9_报仇.wav]
6038-V	HSK 7-9	报答	bàodá	rendre la pareille; récompenser; exprimer sa gratitude en retour pour un service ou une faveur reçue	报答恩情 - bàodá ēnqíng - Rendre la pareille pour une faveur<br>报答帮助 - bàodá bāngzhù - Récompenser l'aide reçue<br>报答父母 - bàodá fùmǔ - Rendre la pareille à ses parents	nom,verbe,action	[sound:hsk7-9_报答.wav]
6039-V	HSK 7-9	报废	bàofèi	mettre au rebut; déclarer quelque chose comme inutilisable ou obsolète	报废汽车 - bàofèi qìchē - Mettre une voiture au rebut<br>报废设备 - bàofèi shèbèi - Déclarer un équipement comme obsolète	nom,verbe,action	[sound:hsk7-9_报废.wav]
6040-V	HSK 7-9	暴风骤雨	bàofēng-zhòuyǔ	tempête soudaine; tempête violente et imprévisible	暴风骤雨的天气 - bàofēng-zhòuyǔ de tiānqì - Temps de tempête soudaine<br>暴风骤雨的变化 - bàofēng-zhòuyǔ de biànhuà - Changement soudain et violent	nom,concept,expression,idiomatique	[sound:hsk7-9_暴风骤雨.wav]
6041-V	HSK 7-9	报复	bàofù	se venger; prendre sa revanche; réagir de manière négative à une action ou une situation perçue comme injuste ou nuisible	报复行为 - bàofù xíngwéi - Comportement de vengeance<br>报复心理 - bàofù xīnlǐ - Mentalité de vengeance<br>报复性攻击 - bàofùxìng gōngjī - Attaque de représailles	nom,verbe,action	[sound:hsk7-9_报复.wav]
